code;term;description
HX;above high threshold;The observation/test result is interpreted as being outside the inclusion range for a particular protocol within which the result is being reported.  Example: A positive result on a Hepatitis screening test. Open Issue: EX, HX, LX: These three concepts do not seem to meet a clear need in the vocabulary, and their use in observation interpretation appears likely to be covered by other existing concepts (e.g. A, H, L). The only apparent significant difference is their reference to use in protocols for exclusion of study subjects. These concepts/codes were proposed by RCRIM for use in the CTLaboratory message. They were submitted and approved in the November 2005 Harmonization cycle in proposal  030103C_VOCAB_RCRIM_l_quade_RCRIM Obs Interp_20051028154455 . However, this proposal was not fully implemented in the vocabulary. The proposal recommended creation of the x_ClinicalResearchExclusion domain in ObservationInterpretation with a value set including those three concepts/codes, but there is no subdomain of that name or equivalent with a binding to either of the value sets that contain these concepts/codes. Members of the OO WG have recently attempted to contact members of RCRIM regarding these concepts, both by email and at the recent WGM in Atlanta, without response. It is felt by OO that the best course of action to take at this time is to add this comprehensive Open Issue rather than deprecate these three concepts at this time, until further discussion is held.
LX;below low threshold;The numeric observation/test result is interpreted as being below the low threshold value for a particular protocol within which the result is being reported. Example: A Total White Blood Cell Count falling below a protocol-defined threshold value of 3000/mm^3 Open Issue: EX, HX, LX: These three concepts do not seem to meet a clear need in the vocabulary, and their use in observation interpretation appears likely to be covered by other existing concepts (e.g. A, H, L). The only apparent significant difference is their reference to use in protocols for exclusion of study subjects. These concepts/codes were proposed by RCRIM for use in the CTLaboratory message. They were submitted and approved in the November 2005 Harmonization cycle in proposal  030103C_VOCAB_RCRIM_l_quade_RCRIM Obs Interp_20051028154455 . However, this proposal was not fully implemented in the vocabulary. The proposal recommended creation of the x_ClinicalResearchExclusion domain in ObservationInterpretation with a value set including those three concepts/codes, but there is no subdomain of that name or equivalent with a binding to either of the value sets that contain these concepts/codes. Members of the OO WG have recently attempted to contact members of RCRIM regarding these concepts, both by email and at the recent WGM in Atlanta, without response. It is felt by OO that the best course of action to take at this time is to add this comprehensive Open Issue rather than deprecate these three concepts at this time, until further discussion is held.
ObservationInterpretationDetection;ObservationInterpretationDetection;Interpretations of the presence or absence of a component / analyte or organism in a test or of a sign in a clinical observation. In keeping with laboratory data processing practice, these concepts provide a categorical interpretation of the  meaning  of the quantitative value for the same observation.
IND;Indeterminate;The specified component / analyte, organism or clinical sign could neither be declared positive / negative or detected / not detected by the performed test or procedure.
NEG;Negative;An absence finding of the specified component / analyte, organism or clinical sign based on the established threshold of the performed test or procedure. [Note: Negative does not necessarily imply the complete absence of the specified item.]
ND;Not detected;The presence of the specified component / analyte, organism or clinical sign could not be determined within the limit of detection of the performed test or procedure.
POS;Positive;A presence finding of the specified component / analyte, organism or clinical sign based on the established threshold of the performed test or procedure.
DET;Detected;The measurement of the specified component / analyte, organism or clinical sign above the limit of detection of the performed test or procedure.
ObservationInterpretationExpectation;ObservationInterpretationExpectation;Interpretation of the observed result taking into account additional information (contraindicators) about the patient's situation. Concepts in this category are mutually exclusive, i.e., at most one is allowed.
EXP;Expected;This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be  Expected  (e.g. presence of drugs in a patient that is taking prescription medication for pain management).
UNE;Unexpected;This result has been evaluated in light of known contraindicators. Once those contraindicators have been taken into account the result is determined to be  Unexpected  (e.g. presence of non-prescribed drugs in a patient that is taking prescription medication for pain management).
ReactivityObservationInterpretation;ReactivityObservationInterpretation;Interpretations of the presence and level of reactivity of the specified component / analyte with the reagent in the performed laboratory test.
NR;Non-reactive;An absence finding used to indicate that the specified component / analyte did not react measurably with the reagent.
RR;Reactive;A presence finding used to indicate that the specified component / analyte reacted with the reagent above the reliably measurable limit of the performed test.
WR;Weakly reactive;A weighted presence finding used to indicate that the specified component / analyte reacted with the reagent, but below the reliably measurable limit of the performed test.
